user_id,age,location,time_spent,type
1,77,Valencia,119,Retirado
2,18,Valencia,135,Empleado
3,72,Sevilla,113,Retirado
4,59,Madrid,151,Empleado
5,70,Barcelona,164,Retirado
6,80,Madrid,177,Retirado
7,47,Barcelona,105,Empleado
8,43,Sevilla,55,Empleado
9,29,Barcelona,128,Funcionario
10,74,Sevilla,169,Sin empleo
11,87,Sevilla,54,Retirado
12,42,Valencia,80,Funcionario
13,31,Barcelona,83,Funcionario
14,52,Madrid,67,Empleado
15,77,Sevilla,131,Empresario
16,38,Sevilla,142,Funcionario
17,52,Madrid,153,Empresario
18,58,Valencia,171,Empleado
19,85,Sevilla,130,Retirado
20,55,Sevilla,157,Empleado
21,33,Sevilla,95,Empresario
22,81,Valencia,104,Retirado
23,41,Madrid,41,Empresario
24,86,Barcelona,110,Sin empleo
25,89,Sevilla,134,Retirado
26,40,Valencia,173,Sin empleo
27,74,Madrid,71,Retirado
28,42,Valencia,95,Empleado
29,80,Sevilla,137,Retirado
30,67,Madrid,83,Retirado
31,31,Sevilla,142,Empresario
32,84,Sevilla,88,Retirado
33,47,Valencia,81,Empleado
34,61,Valencia,169,Retirado
35,78,Valencia,136,Retirado
36,53,Sevilla,166,Empleado
37,55,Sevilla,147,Funcionario
38,18,Barcelona,121,Estudiante
39,64,Sevilla,147,Funcionario
40,49,Madrid,33,Empleado
41,63,Valencia,159,Empleado
42,18,Madrid,82,Estudiante
43,23,Madrid,119,Sin empleo
44,86,Valencia,154,Empresario
45,29,Barcelona,58,Empleado
46,29,Barcelona,88,Empleado
47,82,Barcelona,134,Retirado
48,30,Sevilla,147,Funcionario
49,85,Barcelona,48,Retirado
50,60,Madrid,108,Empleado
51,22,Sevilla,149,Estudiante
52,49,Valencia,30,Funcionario
53,88,Barcelona,117,Retirado
54,80,Valencia,144,Retirado
55,33,Sevilla,57,Funcionario
56,58,Valencia,34,Funcionario
57,57,Madrid,33,Funcionario
58,19,Sevilla,175,Empresario
59,77,Valencia,153,Retirado
60,77,Sevilla,42,Retirado
61,84,Barcelona,122,Retirado
62,29,Valencia,39,Sin empleo
63,46,Valencia,132,Empleado
64,19,Barcelona,95,Estudiante
65,71,Valencia,78,Retirado
66,33,Barcelona,46,Empleado
67,47,Sevilla,34,Funcionario
68,19,Madrid,73,Empleado
69,61,Madrid,32,Funcionario
70,33,Madrid,35,Empleado
71,48,Valencia,144,Sin empleo
72,24,Sevilla,111,Estudiante
73,60,Sevilla,86,Empleado
74,89,Valencia,176,Retirado
75,69,Sevilla,132,Retirado
76,39,Madrid,139,Sin empleo
77,26,Valencia,32,Empleado
78,30,Sevilla,124,Empresario
79,18,Madrid,155,Empleado
80,52,Madrid,143,Funcionario
81,88,Sevilla,86,Retirado
82,75,Valencia,132,Retirado
83,90,Madrid,61,Retirado
84,88,Sevilla,143,Retirado
85,59,Valencia,99,Empleado
86,74,Madrid,161,Retirado
87,64,Barcelona,48,Empresario
88,71,Barcelona,31,Retirado
89,47,Valencia,130,Empleado
90,35,Valencia,144,Empleado
91,55,Madrid,75,Empleado
92,44,Madrid,130,Sin empleo
93,51,Madrid,30,Funcionario
94,24,Madrid,91,Empleado
95,41,Madrid,177,Empleado
96,52,Madrid,148,Empleado
97,72,Barcelona,68,Retirado
98,80,Valencia,150,Retirado
99,60,Valencia,68,Empleado
100,83,Valencia,165,Retirado
101,45,Valencia,179,Funcionario
102,19,Sevilla,51,Empresario
103,67,Valencia,164,Retirado
104,54,Valencia,137,Sin empleo
105,54,Barcelona,163,Empleado
106,20,Madrid,175,Sin empleo
107,61,Valencia,88,Sin empleo
108,50,Valencia,50,Empleado
109,18,Barcelona,120,Estudiante
110,46,Barcelona,89,Empleado
111,53,Barcelona,129,Funcionario
112,24,Barcelona,112,Empleado
113,41,Barcelona,180,Funcionario
114,60,Sevilla,76,Empleado
115,66,Madrid,95,Retirado
116,85,Valencia,104,Retirado
117,56,Barcelona,99,Empresario
118,52,Sevilla,67,Sin empleo
119,68,Sevilla,79,Retirado
120,74,Valencia,126,Retirado
121,74,Barcelona,80,Retirado
122,46,Barcelona,178,Empleado
123,41,Barcelona,67,Empleado
124,87,Madrid,113,Retirado
125,41,Barcelona,99,Estudiante
126,87,Barcelona,162,Retirado
127,21,Madrid,144,Sin empleo
128,43,Sevilla,159,Empleado
129,56,Valencia,45,Funcionario
130,83,Valencia,61,Retirado
131,65,Barcelona,117,Retirado
132,87,Madrid,174,Retirado
133,76,Valencia,91,Retirado
134,53,Valencia,83,Funcionario
135,42,Barcelona,66,Empleado
136,44,Barcelona,111,Empresario
137,56,Barcelona,140,Empleado
138,72,Madrid,102,Retirado
139,29,Barcelona,91,Empleado
140,81,Valencia,59,Retirado
141,89,Barcelona,167,Retirado
142,37,Barcelona,147,Empleado
143,19,Barcelona,54,Estudiante
144,60,Sevilla,117,Empleado
145,69,Madrid,42,Retirado
146,70,Madrid,40,Retirado
147,65,Valencia,49,Retirado
148,82,Madrid,69,Retirado
149,33,Sevilla,31,Sin empleo
150,90,Madrid,99,Retirado
151,33,Barcelona,109,Empleado
152,29,Madrid,44,Empleado
153,76,Madrid,42,Retirado
154,65,Valencia,38,Retirado
155,62,Madrid,114,Empleado
156,18,Barcelona,95,Empleado
157,19,Sevilla,115,Sin empleo
158,62,Valencia,144,Empleado
159,58,Sevilla,112,Sin empleo
160,42,Sevilla,115,Sin empleo
161,77,Barcelona,149,Retirado
162,79,Madrid,112,Retirado
163,86,Madrid,75,Retirado
164,76,Sevilla,124,Retirado
165,53,Valencia,173,Empleado
166,53,Sevilla,175,Empresario
167,85,Sevilla,61,Retirado
168,40,Madrid,60,Empleado
169,39,Sevilla,150,Estudiante
170,53,Sevilla,110,Sin empleo
171,84,Sevilla,45,Retirado
172,41,Madrid,65,Empleado
173,33,Valencia,120,Sin empleo
174,70,Valencia,40,Retirado
175,27,Sevilla,165,Empleado
176,70,Valencia,88,Sin empleo
177,88,Barcelona,149,Retirado
178,24,Barcelona,62,Sin empleo
179,30,Madrid,30,Empleado
180,20,Madrid,87,Estudiante
181,29,Madrid,31,Empleado
182,54,Madrid,108,Funcionario
183,29,Madrid,154,Funcionario
184,88,Madrid,49,Retirado
185,33,Sevilla,69,Empleado
186,45,Barcelona,114,Funcionario
187,74,Barcelona,72,Retirado
188,50,Sevilla,65,Funcionario
189,38,Barcelona,145,Sin empleo
190,30,Madrid,122,Funcionario
191,33,Barcelona,37,Funcionario
192,82,Barcelona,33,Sin empleo
193,65,Valencia,73,Retirado
194,62,Barcelona,167,Funcionario
195,89,Sevilla,67,Retirado
196,69,Barcelona,107,Sin empleo
197,84,Sevilla,177,Retirado
198,55,Barcelona,115,Funcionario
199,21,Sevilla,96,Estudiante
200,54,Barcelona,133,Empleado
201,42,Madrid,122,Sin empleo
202,84,Barcelona,40,Retirado
203,53,Valencia,178,Empleado
204,31,Valencia,180,Empresario
205,50,Barcelona,91,Empresario
206,56,Madrid,159,Empleado
207,72,Barcelona,147,Retirado
208,89,Sevilla,133,Retirado
209,40,Barcelona,99,Funcionario
210,53,Madrid,97,Empleado
211,39,Valencia,107,Sin empleo
212,83,Sevilla,63,Retirado
213,76,Valencia,128,Retirado
214,63,Barcelona,111,Sin empleo
215,37,Valencia,93,Funcionario
216,87,Sevilla,100,Sin empleo
217,76,Valencia,104,Retirado
218,64,Barcelona,92,Empleado
219,77,Sevilla,125,Retirado
220,59,Barcelona,99,Funcionario
221,54,Barcelona,75,Funcionario
222,44,Madrid,105,Funcionario
223,44,Barcelona,111,Sin empleo
224,75,Sevilla,111,Retirado
225,31,Valencia,169,Sin empleo
226,27,Valencia,60,Empleado
227,50,Barcelona,74,Empleado
228,42,Barcelona,116,Empleado
229,49,Madrid,38,Empleado
230,59,Valencia,162,Empleado
231,49,Sevilla,129,Empleado
232,90,Valencia,120,Retirado
233,88,Madrid,72,Retirado
234,23,Madrid,109,Estudiante
235,48,Valencia,35,Empleado
236,87,Barcelona,172,Retirado
237,21,Madrid,84,Empleado
238,87,Sevilla,54,Retirado
239,49,Valencia,99,Empresario
240,82,Madrid,167,Retirado
241,38,Madrid,92,Empresario
242,39,Madrid,55,Sin empleo
243,46,Barcelona,91,Empleado
244,59,Madrid,41,Empresario
245,85,Madrid,109,Retirado
246,41,Madrid,174,Empresario
247,90,Valencia,46,Retirado
248,47,Sevilla,64,Funcionario
249,78,Barcelona,32,Retirado
250,33,Valencia,170,Empleado
251,28,Sevilla,95,Empresario
252,20,Barcelona,50,Estudiante
253,85,Valencia,110,Retirado
254,72,Madrid,108,Retirado
255,75,Valencia,173,Retirado
256,49,Madrid,39,Funcionario
257,79,Barcelona,124,Empresario
258,71,Barcelona,156,Retirado
259,66,Valencia,73,Retirado
260,26,Barcelona,176,Sin empleo
261,59,Barcelona,69,Funcionario
262,19,Valencia,30,Estudiante
263,18,Sevilla,77,Estudiante
264,51,Barcelona,80,Empleado
265,32,Madrid,159,Funcionario
266,41,Barcelona,151,Empleado
267,25,Madrid,152,Empleado
268,50,Barcelona,112,Funcionario
269,90,Sevilla,105,Retirado
270,20,Madrid,53,Empleado
271,56,Barcelona,136,Empleado
272,24,Madrid,108,Empleado
273,58,Sevilla,99,Funcionario
274,84,Barcelona,43,Empresario
275,61,Madrid,148,Empleado
276,53,Madrid,66,Funcionario
277,75,Barcelona,158,Retirado
278,65,Valencia,67,Retirado
279,82,Madrid,125,Retirado
280,31,Valencia,88,Sin empleo
281,63,Sevilla,73,Empresario
282,42,Barcelona,97,Empleado
283,37,Madrid,101,Empleado
284,61,Madrid,173,Empresario
285,61,Sevilla,86,Funcionario
286,27,Valencia,72,Empresario
287,42,Valencia,100,Funcionario
288,35,Barcelona,73,Empleado
289,33,Valencia,173,Sin empleo
290,28,Valencia,162,Empresario
291,24,Sevilla,173,Empleado
292,25,Barcelona,128,Empleado
293,21,Barcelona,159,Estudiante
294,60,Valencia,87,Empleado
295,50,Valencia,172,Empleado
296,82,Sevilla,67,Empresario
297,86,Madrid,41,Sin empleo
298,29,Barcelona,77,Funcionario
299,19,Sevilla,105,Sin empleo
300,23,Sevilla,174,Empleado
301,77,Madrid,89,Empresario
302,74,Sevilla,126,Retirado
303,47,Valencia,95,Funcionario
304,72,Madrid,172,Retirado
305,86,Barcelona,132,Retirado
306,86,Madrid,34,Retirado
307,78,Valencia,91,Retirado
308,85,Sevilla,37,Retirado
309,77,Sevilla,143,Retirado
310,36,Sevilla,97,Empleado
311,79,Madrid,180,Retirado
312,72,Valencia,71,Retirado
313,68,Barcelona,56,Retirado
314,66,Valencia,166,Retirado
315,88,Barcelona,32,Retirado
316,81,Sevilla,140,Retirado
317,19,Madrid,55,Estudiante
318,20,Barcelona,98,Estudiante
319,62,Madrid,129,Empleado
320,76,Sevilla,74,Retirado
321,60,Valencia,117,Empleado
322,48,Valencia,40,Funcionario
323,35,Madrid,84,Empresario
324,63,Sevilla,80,Funcionario
325,18,Valencia,79,Empresario
326,60,Barcelona,62,Empresario
327,46,Valencia,150,Empresario
328,85,Barcelona,56,Retirado
329,36,Sevilla,46,Funcionario
330,70,Sevilla,133,Retirado
331,39,Madrid,175,Empleado
332,48,Valencia,85,Sin empleo
333,69,Sevilla,93,Retirado
334,38,Valencia,77,Funcionario
335,49,Valencia,171,Funcionario
336,57,Madrid,88,Funcionario
337,25,Barcelona,157,Empleado
338,81,Madrid,57,Retirado
339,33,Madrid,60,Empleado
340,42,Sevilla,75,Empleado
341,27,Valencia,61,Empresario
